median_p4 median_p5 median_p6 satellite time_mjd
0.0204 0.0167 0.00562 13 57708.999222407
0.020700000000000003 0.0171 0.00569 13 57709.999222407
0.021 0.0173 0.00566 13 57710.999222407
0.021 0.0175 0.00576 13 57711.999222407
0.0204 0.0173 0.00572 13 57712.999222407
0.0204 0.0167 0.00554 13 57713.999222407
0.0197 0.0161 0.00545 13 57714.999222407
0.0197 0.016 0.00539 13 57715.999222407
0.0197 0.0159 0.00532 13 57716.999222407
0.0197 0.0157 0.0053 13 57717.999222407
0.0191 0.0155 0.00535 13 57718.999222407
0.0191 0.016 0.00532 13 57719.999222407
0.0197 0.0159 0.00539 13 57720.999222407
0.0197 0.0161 0.00532 13 57721.999222407
0.0194 0.0162 0.005435000000000001 13 57722.999222407
0.0197 0.0165 0.00545 13 57723.999222407
0.0204 0.0163 0.00552 13 57724.999222407
0.0204 0.0165 0.00554 13 57725.999222407
0.021 0.0167 0.00559 13 57726.999222407
0.0197 0.0163 0.00556 13 57727.999222407
0.0204 0.0167 0.00556 13 57728.999222407
0.0204 0.0169 0.0055049999999999995 13 57729.999222407
0.0204 0.0165 0.00552 13 57730.999222407
0.0197 0.0165 0.00549 13 57731.999222407
0.0197 0.0167 0.00552 13 57732.999222407
0.0204 0.0165 0.00542 13 57733.999222407
0.0204 0.0167 0.00556 13 57734.999222407
0.021 0.0169 0.00556 13 57735.999222407
0.0204 0.0169 0.00566 13 57736.999222407
0.02135 0.0171 0.00569 13 57737.999222407
0.0204 0.0171 0.00583 13 57738.999222407
0.021 0.0169 0.00572 13 57739.999222407
0.021 0.0169 0.00556 13 57740.999222407
0.0204 0.017 0.00559 13 57741.999222407
0.0204 0.0165 0.00549 13 57742.999222407
0.0204 0.0165 0.00545 13 57743.999222407
