median_p4 median_p5 median_p6 satellite time_mjd
0.0542 0.014700000000000001 0.00434 15 58004.999222407
0.0322 0.0159 0.00484 15 58005.999222407
29.1 4.86 0.2225 15 58006.999222407
6.0 0.589 0.02345 15 58007.999222407
2.18 0.192 0.00911 15 58008.999222407
1.18 0.0816 0.00613 15 58009.999222407
0.08310000000000001 0.0238 0.00512 15 58010.999222407
0.0447 0.0196 0.00495 15 58011.999222407
0.0329 0.0177 0.00481 15 58012.999222407
0.0296 0.0169 0.00481 15 58013.999222407
0.0269 0.0166 0.00478 15 58014.999222407
0.0243 0.0161 0.00469 15 58015.999222407
0.023 0.0157 0.00478 15 58016.999222407
0.025 0.0157 0.00498 15 58017.999222407
0.0237 0.0155 0.00498 15 58018.999222407
0.0223 0.0153 0.00491 15 58019.999222407
0.0197 0.0149 0.00486 15 58020.999222407
0.0191 0.0151 0.00484 15 58021.999222407
0.0184 0.0149 0.00478 15 58022.999222407
0.0184 0.0148 0.004725 15 58023.999222407
0.0184 0.0148 0.00478 15 58024.999222407
0.0184 0.0148 0.004895 15 58025.999222407
0.0184 0.0149 0.004824999999999999 15 58026.999222407
0.0184 0.0151 0.00491 15 58027.999222407
0.01875 0.0153 0.00498 15 58028.999222407
0.0191 0.0153 0.0049949999999999994 15 58029.999222407
0.0191 0.0154 0.00498 15 58030.999222407
0.0191 0.0151 0.00501 15 58031.999222407
0.0191 0.0155 0.00498 15 58032.999222407
0.0191 0.0153 0.00501 15 58033.999222407
0.0191 0.0153 0.00505 15 58034.999222407
0.0184 0.0155 0.00498 15 58035.999222407
0.0191 0.0159 0.00512 15 58036.999222407
0.0191 0.0156 0.00508 15 58037.999222407
0.0184 0.0154 0.00505 15 58038.999222407
0.0177 0.0153 0.00498 15 58039.999222407
0.0191 0.0151 0.00501 15 58040.999222407
0.0191 0.0157 0.00508 15 58041.999222407
0.0191 0.0155 0.00505 15 58042.999222407
0.0197 0.0158 0.00518 15 58043.999222407
0.0191 0.0159 0.00515 15 58044.999222407
0.0204 0.0161 0.00522 15 58045.999222407
0.0197 0.0157 0.00518 15 58046.999222407
0.0191 0.0159 0.00518 15 58047.999222407
0.0191 0.0157 0.00508 15 58048.999222407
0.0197 0.0154 0.00505 15 58049.999222407
0.0184 0.0149 0.00501 15 58050.999222407
0.0184 0.0153 0.00501 15 58051.999222407
0.0191 0.0158 0.00508 15 58052.999222407
0.0191 0.0157 0.0051 15 58053.999222407
0.0191 0.0159 0.00515 15 58054.999222407
0.0194 0.0157 0.00515 15 58055.999222407
0.0197 0.0161 0.00518 15 58056.999222407
0.0197 0.0163 0.00525 15 58057.999222407
0.0191 0.0161 0.00518 15 58058.999222407
0.0197 0.0159 0.00512 15 58059.999222407
0.0191 0.0161 0.00518 15 58060.999222407
0.0197 0.0159 0.00518 15 58061.999222407
0.0197 0.0165 0.00515 15 58062.999222407
0.0197 0.0161 0.00525 15 58063.999222407
0.0191 0.0157 0.005135000000000001 15 58064.999222407
0.0191 0.0159 0.00518 15 58065.999222407
0.0191 0.0157 0.00515 15 58066.999222407
0.0191 0.0159 0.00508 15 58067.999222407
0.0197 0.0159 0.00518 15 58068.999222407
0.0191 0.0159 0.00518 15 58069.999222407
0.0191 0.0162 0.00518 15 58070.999222407
0.0191 0.0159 0.00515 15 58071.999222407
0.0191 0.0159 0.00515 15 58072.999222407
0.0197 0.0159 0.0052 15 58073.999222407
0.0197 0.0161 0.00537 15 58074.999222407
0.0197 0.0167 0.00539 15 58075.999222407
0.0204 0.0165 0.00542 15 58076.999222407
0.0197 0.0161 0.00532 15 58077.999222407
0.0204 0.0163 0.00532 15 58078.999222407
0.0204 0.0169 0.00539 15 58079.999222407
0.0204 0.0171 0.00552 15 58080.999222407
0.0204 0.0165 0.00542 15 58081.999222407
0.021 0.0167 0.00542 15 58082.999222407
0.0204 0.0169 0.00539 15 58083.999222407
0.0191 0.0166 0.0053 15 58084.999222407
0.0197 0.0165 0.00539 15 58085.999222407
0.0177 0.0153 0.00508 15 58086.999222407
0.0191 0.0159 0.00518 15 58087.999222407
0.0191 0.0165 0.00525 15 58088.999222407
0.0197 0.0163 0.00528 15 58089.999222407
0.0204 0.0163 0.00535 15 58090.999222407
0.0197 0.0165 0.00528 15 58091.999222407
0.0197 0.0161 0.00528 15 58092.999222407
0.0197 0.0161 0.00525 15 58093.999222407
0.0197 0.0163 0.00532 15 58094.999222407
0.0197 0.0163 0.00528 15 58095.999222407
0.0197 0.0165 0.00539 15 58096.999222407
0.0197 0.0165 0.00539 15 58097.999222407
0.00498 0.00108 0.000239 14 58098.999222407
0.00498 0.00108 0.000238 14 58099.999222407
0.00498 0.00108 0.00024 14 58100.999222407
0.00498 0.00107 0.000239 14 58101.999222407
0.00498 0.00109 0.00024 14 58102.999222407
0.00497 0.00109 0.000242 14 58103.999222407
0.00497 0.00109 0.000243 14 58104.999222407
0.00458 0.00108 0.000239 14 58105.999222407
0.005065 0.0011 0.000243 14 58106.999222407
0.005395 0.00109 0.000243 14 58107.999222407
0.00563 0.0011 0.000248 14 58108.999222407
0.00578 0.00111 0.000247 14 58109.999222407
0.005719999999999999 0.0011 0.000249 14 58110.999222407
0.00497 0.00109 0.0002465 14 58111.999222407
0.0057 0.00109 0.000244 14 58112.999222407
0.0048649999999999995 0.00111 0.000243 14 58113.999222407
0.00563 0.00109 0.00024 14 58114.999222407
0.00498 0.00105 0.000239 14 58115.999222407
0.005 0.00107 0.000239 14 58116.999222407
0.004955 0.00107 0.00024 14 58117.999222407
0.00498 0.00109 0.00024 14 58118.999222407
0.005145 0.00108 0.00024 14 58119.999222407
0.0049 0.00107 0.000238 14 58120.999222407
0.00563 0.00108 0.000242 14 58121.999222407
0.004880000000000001 0.00109 0.00024 14 58122.999222407
0.0054 0.00109 0.00024 14 58123.999222407
0.006019999999999999 0.00111 0.000243 14 58124.999222407
0.00562 0.0011 0.000246 14 58125.999222407
0.00498 0.0011 0.000241 14 58126.999222407
0.00498 0.00109 0.000241 14 58127.999222407
0.00564 0.00109 0.000244 14 58128.999222407
0.005605000000000001 0.00109 0.000245 14 58129.999222407
0.0054 0.0011 0.000245 14 58130.999222407
0.00563 0.0011 0.000244 14 58131.999222407
0.00562 0.0011 0.000246 14 58132.999222407
0.005085 0.00113 0.000247 14 58133.999222407
0.006175 0.00114 0.000252 14 58134.999222407
0.00561 0.00114 0.000253 14 58135.999222407
0.00582 0.00113 0.000253 14 58136.999222407
0.00561 0.00115 0.000252 14 58137.999222407
0.005535 0.00112 0.000252 14 58138.999222407
0.00693 0.00111 0.000252 14 58139.999222407
0.00562 0.00111 0.000247 14 58140.999222407
0.00562 0.00111 0.000251 14 58141.999222407
0.00561 0.00113 0.000251 14 58142.999222407
0.00562 0.00109 0.000248 14 58143.999222407
0.00496 0.00111 0.000248 14 58144.999222407
0.00563 0.0011 0.000244 14 58145.999222407
0.00497 0.00109 0.000244 14 58146.999222407
0.00546 0.0011 0.000243 14 58147.999222407
0.00563 0.0011 0.000242 14 58148.999222407
0.005235 0.00111 0.000241 14 58149.999222407
0.00562 0.0011 0.000245 14 58150.999222407
0.00497 0.0011 0.000244 14 58151.999222407
0.005625 0.0011 0.000247 14 58152.999222407
0.00562 0.00111 0.000247 14 58153.999222407
0.00566 0.00109 0.000248 14 58154.999222407
0.00562 0.0011 0.000246 14 58155.999222407
0.005715 0.0011 0.000246 14 58156.999222407
0.00562 0.00111 0.000249 14 58157.999222407
0.005525 0.00111 0.000248 14 58158.999222407
0.00627 0.00112 0.000249 14 58159.999222407
0.00693 0.00112 0.00025 14 58160.999222407
0.0064600000000000005 0.00113 0.000252 14 58161.999222407
0.005775000000000001 0.00113 0.000253 14 58162.999222407
0.00622 0.00114 0.000253 14 58163.999222407
